City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,srednekolymsk,3,RU,1572937382,94,67.46,153.71,3.7,3.53
44,chokurdakh,100,RU,1572937382,90,70.62,147.9,6.51,9.69
45,sao filipe,100,CV,1572937382,58,14.9,-24.5,80.64,16.04
46,santiago,44,PH,1572937323,74,16.69,121.54,85.14,4.38
47,bredasdorp,100,ZA,1572937382,67,-34.53,20.04,62.6,5.82
48,port macquarie,90,AU,1572937382,52,-31.43,152.91,68.0,18.34
49,ilhabela,74,BR,1572937382,84,-23.78,-45.36,77.27,6.22
50,samoded,0,RU,1572937382,94,63.61,40.52,18.95,3.06
51,hobart,75,AU,1572937382,33,-42.88,147.33,60.01,12.75
52,talnakh,20,RU,1572937383,77,69.49,88.39,3.2,20.13
53,khasan,0,RU,1572937383,36,42.43,130.64,48.02,17.43
54,castro,53,CL,1572937383,94,-42.48,-73.76,40.01,4.34
55,ribeira grande,78,PT,1572937383,72,38.52,-28.7,57.51,8.21
56,kulu,97,CD,1572937383,96,3.47,23.69,72.5,0.18
57,jumla,0,NP,1572937383,22,29.28,82.18,58.53,5.14
58,grootfontein,20,NA,1572937383,27,-19.56,18.1,77.0,3.04
59,fort nelson,75,CA,1572937383,85,58.81,-122.69,15.8,9.17
60,faya,40,SA,1572937383,25,18.39,42.45,69.8,3.36
61,saint-philippe,90,CA,1572937383,65,45.36,-73.48,48.99,16.11
62,hami,88,CN,1572937383,18,42.84,93.51,59.83,3.36
63,victoria,75,BN,1572937208,70,5.28,115.24,89.01,9.17
64,san jose,2,HN,1572937384,93,14.25,-87.96,62.08,7.23
65,lasa,50,CY,1572937384,43,34.92,32.53,72.0,6.93
66,meulaboh,22,ID,1572937384,77,4.14,96.13,80.96,8.19
67,saint george,0,GR,1572937384,82,39.45,22.34,60.8,4.41
68,juneau,90,US,1572937384,100,58.3,-134.42,42.8,7.4
69,haines junction,100,CA,1572937384,97,60.75,-137.51,17.11,5.53
70,barrow,0,AR,1572937384,61,-38.31,-60.23,44.53,7.61
71,barranca,47,PE,1572937384,90,-10.75,-77.76,62.33,14.65
72,rawson,0,AR,1572937384,49,-43.3,-65.11,52.9,18.05
73,jiuquan,0,CN,1572937384,33,39.73,98.49,44.96,4.27
74,shahrud,0,IR,1572937384,28,36.42,54.97,47.03,2.1
75,kaliganj,38,BD,1572937384,54,23.41,89.13,85.1,4.0
76,hope,20,US,1572937384,82,33.67,-93.59,62.01,5.57
77,arraial do cabo,0,BR,1572937385,84,-22.97,-42.02,75.06,16.71
78,lianzhou,0,CN,1572937385,40,24.79,112.38,72.43,7.52
79,jacala,100,MX,1572937385,99,21.0,-99.19,62.01,1.86
80,palmer,96,AU,1572937385,32,-34.85,139.16,73.99,16.11
81,vostok,100,RU,1572937385,77,46.45,135.83,28.72,7.38
82,itupiranga,29,BR,1572937385,88,-5.13,-49.33,77.0,3.36
83,ossora,100,RU,1572937385,97,59.24,163.07,35.44,17.83
84,luderitz,83,NA,1572937385,49,-26.65,15.16,69.8,9.17
85,sisimiut,100,GL,1572937385,64,66.94,-53.67,21.76,3.51
86,port alfred,22,ZA,1572937385,81,-33.59,26.89,71.01,8.01
87,dingle,71,PH,1572937385,72,11.0,122.67,85.37,11.86
88,ritchie,0,ZA,1572937385,32,-29.03,24.6,82.4,25.28
89,virginia beach,90,US,1572937368,87,36.85,-75.98,64.4,13.51
90,zeya,100,RU,1572937385,86,53.74,127.27,20.3,12.01
91,scarborough,98,GB,1572937386,87,54.28,-0.41,51.8,10.29
92,aasiaat,100,GL,1572937386,65,68.71,-52.87,18.9,5.06
93,waingapu,0,ID,1572937386,64,-9.65,120.26,83.25,7.34
94,kidal,0,ML,1572937386,18,18.44,1.41,74.44,5.59
95,adrar,0,DZ,1572937386,39,27.87,-0.29,66.2,10.29
96,leningradskiy,69,RU,1572937386,83,69.38,178.42,15.84,2.71
